subject,small.digit,large.digit,small.word,large.word
1,1068,1241,1543,1861
2,1164,1245,1670,2134
3,1127,1386,1503,1972
4,1089,1585,1438,2474
5,1052,1445,1151,1771
6,646,988,908,1349
7,1184,1349,1781,2220
8,1084,1618,1796,2772
9,1205,1331,1457,1843
10,1018,1224,1598,2008
11,1408,1727,1837,2801
12,965,1125,1363,2146
13,1032,1192,1384,1148
14,1202,1782,1519,2251
15,1012,1391,1273,2339
16,651,1281,792,1711
17,1198,1481,1506,2438
18,1142,1800,1658,2785
19,989,1484,1234,1567
20,813,858,1327,1466
21,1135,1765,1533,2150
22,996,1300,1285,1962
23,1234,1516,1614,2516
24,937,1303,1286,2210
25,1159,1488,1948,2509
26,1199,1506,1662,1833
27,843,1404,1345,2146
28,1140,1443,1934,2486
29,1053,1501,1628,2734
30,1195,1582,1751,2396
31,1079,1153,1521,1800
32,1149,1639,1496,1898
33,1126,1545,1335,2436
34,1226,1469,1458,2490
35,1091,1278,1383,1775
36,1386,1788,1788,2852
37,1027,1119,1592,1401
38,928,1118,1190,1579
39,1011,1186,1704,1695
40,1112,1252,1622,1792
41,900,1488,1647,2655
42,941,1237,1494,2105
43,1168,1412,1427,1877
44,1091,1237,1466,1938
45,929,1207,1173,1685
46,1026,1467,1586,2485
47,1026,1285,1449,1486
48,965,1537,1251,1749
